herramienta,severidad,hallazgo,control_iso27001,objetivo_cobit
Lynis,Media,LYNIS|This release is more than 4 months old. Check the website or GitHub to see if there is an update available.|-|-|,Sin clasificar,Sin clasificar
Lynis,Media,DEB-0280|Install libpam-tmpdir to set $TMP and $TMPDIR for PAM sessions|-|-|,A.8.9 Configuration management,BAI10.02
Lynis,Media,DEB-0810|Install apt-listbugs to display a list of critical bugs prior to each APT installation.|-|-|,Sin clasificar,Sin clasificar
Lynis,Media,DEB-0811|Install apt-listchanges to display any significant changes prior to any upgrade via APT.|-|-|,Sin clasificar,Sin clasificar
Lynis,Media,"DEB-0831|Install needrestart, alternatively to debian-goodies, so that you can run needrestart after upgrades to determine which daemons are using old versions ",A.8.8 Management of technical vulnerabilities,DSS05.07
Lynis,Media,DEB-0880|Install fail2ban to automatically ban hosts that commit multiple authentication errors.|-|-|,A.5.17 Authentication information,DSS05.04
Lynis,Media,BOOT-5180|Determine runlevel and services at startup|-|-|,Sin clasificar,Sin clasificar
Lynis,Media,KRNL-5788|Determine why /vmlinuz or /boot/vmlinuz is missing on this Debian/Ubuntu system.|/vmlinuz or /boot/vmlinuz|-|,Sin clasificar,Sin clasificar
Lynis,Media,"KRNL-5820|If not required, consider explicit disabling of core dump in /etc/security/limits.conf file|-|-|",Sin clasificar,Sin clasificar
Lynis,Media,AUTH-9230|Configure password hashing rounds in /etc/login.defs|-|-|,A.5.17 Authentication information,DSS05.04
Lynis,Media,AUTH-9262|Install a PAM module for password strength testing like pam_cracklib or pam_passwdqc|-|-|,A.5.17 Authentication information,DSS05.04
Lynis,Media,AUTH-9286|Configure minimum password age in /etc/login.defs|-|-|,A.5.17 Authentication information,DSS05.04
Lynis,Media,AUTH-9286|Configure maximum password age in /etc/login.defs|-|-|,A.5.17 Authentication information,DSS05.04
Lynis,Media,AUTH-9328|Default umask in /etc/login.defs could be more strict like 027|-|-|,A.5.17 Authentication information,DSS05.04
Lynis,Media,"FILE-6310|To decrease the impact of a full /home file system, place /home on a separate partition|-|-|",Sin clasificar,Sin clasificar
Lynis,Media,"FILE-6310|To decrease the impact of a full /tmp file system, place /tmp on a separate partition|-|-|",Sin clasificar,Sin clasificar
Lynis,Media,"FILE-6310|To decrease the impact of a full /var file system, place /var on a separate partition|-|-|",Sin clasificar,Sin clasificar
Lynis,Media,"USB-1000|Disable drivers like USB storage when not used, to prevent unauthorized storage or data theft|-|-|",A.5.17 Authentication information,DSS05.04
Lynis,Media,"STRG-1846|Disable drivers like firewire storage when not used, to prevent unauthorized storage or data theft|-|-|",A.5.17 Authentication information,DSS05.04
Lynis,Media,NAME-4028|Check DNS configuration for the dns domain name|-|-|,A.8.9 Configuration management,BAI10.02
Lynis,Media,PKGS-7370|Install debsums utility for the verification of packages with known good database.|-|-|,Sin clasificar,Sin clasificar
Lynis,Alta,PKGS-7392|Found one or more vulnerable packages.|-|-|,A.8.8 Management of technical vulnerabilities,DSS05.07
Lynis,Media,"PKGS-7392|Update your system with apt-get update, apt-get upgrade, apt-get dist-upgrade and/or unattended-upgrades|-|-|",Sin clasificar,Sin clasificar
Lynis,Media,PKGS-7394|Install package apt-show-versions for patch management purposes|-|-|,A.8.8 Management of technical vulnerabilities,DSS05.07
Lynis,Media,PKGS-7420|Consider using a tool to automatically apply upgrades|-|-|,Sin clasificar,Sin clasificar
Lynis,Media,NETW-3200|Determine if protocol 'dccp' is really needed on this system|-|-|,Sin clasificar,Sin clasificar
Lynis,Media,NETW-3200|Determine if protocol 'sctp' is really needed on this system|-|-|,Sin clasificar,Sin clasificar
Lynis,Media,NETW-3200|Determine if protocol 'rds' is really needed on this system|-|-|,Sin clasificar,Sin clasificar
Lynis,Media,NETW-3200|Determine if protocol 'tipc' is really needed on this system|-|-|,Sin clasificar,Sin clasificar
Lynis,Media,LOGG-2130|Check if any syslog daemon is running and correctly configured.|-|-|,A.8.15 Logging,DSS01.03
Lynis,Alta,"LOGG-2138|klogd is not running, which could lead to missing kernel messages in log files|-|-|",A.8.15 Logging,DSS01.03
Lynis,Media,"BANN-7126|Add a legal banner to /etc/issue, to warn unauthorized users|-|-|",A.5.17 Authentication information,DSS05.04
Lynis,Media,"BANN-7130|Add legal banner to /etc/issue.net, to warn unauthorized users|-|-|",A.5.17 Authentication information,DSS05.04
